TimeStep,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
2.471000,0.404341,0.534341,1.116862,0.985962,-0.070217,-0.123378,-0.087900
2.499000,0.402262,0.529063,1.123325,0.985328,-0.067789,-0.127114,-0.091515
2.526000,0.399909,0.524438,1.129590,0.984126,-0.068724,-0.131897,-0.096828
2.570000,0.396412,0.517248,1.138451,0.982238,-0.070866,-0.139596,-0.103436
2.596000,0.394058,0.512521,1.144058,0.981467,-0.070777,-0.142104,-0.107331
2.638000,0.390042,0.505716,1.152073,0.980087,-0.069715,-0.147287,-0.113469
2.665000,0.387336,0.501388,1.156937,0.979207,-0.070545,-0.150530,-0.116268
2.694000,0.384689,0.496853,1.161233,0.977811,-0.071553,-0.155945,-0.120193
2.735000,0.380921,0.489641,1.166915,0.977241,-0.069605,-0.157135,-0.124355
2.763000,0.378302,0.484418,1.170038,0.976673,-0.067220,-0.158966,-0.127758
2.804000,0.374291,0.476772,1.173685,0.975085,-0.069199,-0.161859,-0.134989
2.833000,0.371711,0.470630,1.175190,0.975278,-0.065222,-0.160340,-0.137367
2.860000,0.368777,0.464918,1.176190,0.974491,-0.063189,-0.161339,-0.142631
2.901000,0.364487,0.456474,1.176291,0.973277,-0.062666,-0.162292,-0.149887
2.931000,0.361242,0.450775,1.175583,0.973726,-0.057457,-0.159943,-0.151578
2.972000,0.357697,0.443172,1.173034,0.972670,-0.058803,-0.158829,-0.158837
3.000000,0.355218,0.437399,1.171127,0.973262,-0.055410,-0.154998,-0.160206
3.027000,0.353345,0.431793,1.168153,0.973724,-0.047567,-0.151747,-0.163006
3.069000,0.350986,0.424536,1.163041,0.972867,-0.047659,-0.149061,-0.170410
3.096000,0.349494,0.419641,1.158812,0.974112,-0.039895,-0.142804,-0.170652
3.126000,0.348350,0.415724,1.154470,0.973799,-0.038109,-0.140180,-0.174966
3.166000,0.346895,0.410315,1.147297,0.974713,-0.035449,-0.132313,-0.176555
3.194000,0.345592,0.406562,1.143015,0.975192,-0.029677,-0.129644,-0.176954
3.237000,0.344667,0.401862,1.135562,0.975243,-0.025926,-0.124140,-0.181160
3.263000,0.343938,0.398936,1.130274,0.975634,-0.024238,-0.119891,-0.182144
3.305000,0.343958,0.394991,1.121664,0.976119,-0.022523,-0.112460,-0.184489
3.333000,0.344003,0.392229,1.115831,0.976197,-0.023422,-0.107756,-0.186760
3.361000,0.343684,0.389498,1.109903,0.976984,-0.019866,-0.101464,-0.186580
3.403000,0.343807,0.385764,1.100768,0.976854,-0.020949,-0.094872,-0.190571
3.431000,0.343563,0.382996,1.094864,0.977512,-0.018963,-0.088838,-0.190310
3.473000,0.342942,0.379046,1.086740,0.977516,-0.018303,-0.083259,-0.192863
3.501000,0.342309,0.376201,1.081893,0.977789,-0.015567,-0.079644,-0.193242
3.528000,0.341016,0.373611,1.077261,0.977602,-0.014203,-0.078800,-0.194638
3.570000,0.339377,0.369974,1.069903,0.978167,-0.015426,-0.074561,-0.193370
3.598000,0.337843,0.367767,1.064636,0.978244,-0.015963,-0.072136,-0.193857
3.625000,0.336795,0.365500,1.058796,0.978502,-0.019287,-0.068437,-0.193593
3.666000,0.334917,0.361758,1.050248,0.979225,-0.021450,-0.061730,-0.191960
3.695000,0.333490,0.358767,1.044543,0.979230,-0.019240,-0.057698,-0.193417
3.736000,0.331208,0.355106,1.036324,0.979856,-0.020023,-0.055349,-0.190835
3.764000,0.329924,0.352311,1.030672,0.979902,-0.019027,-0.050450,-0.192056
3.806000,0.327594,0.349357,1.022866,0.980637,-0.018849,-0.048260,-0.188857
3.833000,0.326172,0.347339,1.017785,0.981267,-0.019526,-0.045541,-0.186169
3.861000,0.324766,0.345536,1.013218,0.981526,-0.019557,-0.044242,-0.185111
3.903000,0.322378,0.343060,1.007253,0.983236,-0.017173,-0.044593,-0.175966
3.931000,0.320806,0.341374,1.003432,0.984037,-0.017528,-0.044726,-0.171358
3.972000,0.318020,0.339011,0.998757,0.985797,-0.016458,-0.046784,-0.160450
4.001000,0.316282,0.337339,0.995114,0.987168,-0.016749,-0.050114,-0.150690
4.026000,0.314840,0.334779,0.991916,0.987416,-0.022864,-0.047852,-0.148985
4.069000,0.312576,0.331041,0.986726,0.989198,-0.019938,-0.046498,-0.137577
4.096000,0.311121,0.327708,0.983146,0.989143,-0.026199,-0.046687,-0.136854
4.129000,0.309189,0.324411,0.980530,0.990010,-0.025389,-0.045914,-0.130872
4.167000,0.306445,0.319011,0.977020,0.990346,-0.029260,-0.046427,-0.127294
4.195000,0.304449,0.314957,0.975510,0.990233,-0.030072,-0.045489,-0.128314
4.236000,0.301693,0.308745,0.973265,0.990436,-0.026635,-0.045327,-0.127562
4.263000,0.299793,0.305055,0.971960,0.990204,-0.028390,-0.046520,-0.128555
4.305000,0.296555,0.299461,0.970524,0.990663,-0.026401,-0.047911,-0.124877
4.333000,0.294461,0.295577,0.969767,0.990271,-0.029741,-0.048801,-0.126872
4.362000,0.292523,0.291061,0.969073,0.990125,-0.028772,-0.049262,-0.128051
4.403000,0.289642,0.284402,0.967791,0.990067,-0.026793,-0.049888,-0.128691
4.431000,0.287590,0.279830,0.966989,0.989585,-0.030214,-0.050363,-0.131421
4.472000,0.284585,0.272359,0.966015,0.988938,-0.030101,-0.049376,-0.136595
4.500000,0.282622,0.267546,0.965343,0.988525,-0.029121,-0.049251,-0.139800
4.528000,0.280307,0.262740,0.965182,0.987633,-0.032232,-0.051318,-0.144601
4.570000,0.276857,0.255267,0.965433,0.986997,-0.029551,-0.052081,-0.149165
4.597000,0.274473,0.250116,0.965977,0.985942,-0.030207,-0.054067,-0.155184
4.638000,0.270645,0.242738,0.967183,0.985312,-0.027802,-0.056462,-0.158743
4.666000,0.268242,0.237998,0.967966,0.984680,-0.029413,-0.058071,-0.161766
4.693000,0.266065,0.232983,0.968627,0.984345,-0.029339,-0.059484,-0.163297
4.736000,0.262872,0.225454,0.969797,0.983384,-0.029618,-0.061879,-0.168078
4.763000,0.260460,0.221170,0.970711,0.983096,-0.029922,-0.064162,-0.168847
4.805000,0.257734,0.214136,0.971530,0.982709,-0.028408,-0.066499,-0.170454
4.833000,0.255898,0.209885,0.971806,0.982740,-0.027606,-0.068518,-0.169605
4.860000,0.254257,0.205519,0.972072,0.982654,-0.026773,-0.071711,-0.168913
4.902000,0.252281,0.199544,0.972215,0.981399,-0.027886,-0.072773,-0.175452
4.931000,0.251162,0.195998,0.972119,0.981210,-0.028302,-0.072779,-0.176437
4.973000,0.249929,0.190455,0.971744,0.980449,-0.027235,-0.073913,-0.180317
5.000000,0.249357,0.187504,0.971144,0.980003,-0.028498,-0.073244,-0.182806
5.028000,0.248659,0.184970,0.970751,0.980053,-0.031675,-0.072934,-0.182136
5.070000,0.248380,0.179896,0.969916,0.978788,-0.035244,-0.069650,-0.189422
5.097000,0.247589,0.177402,0.969825,0.977992,-0.037360,-0.068572,-0.193480
5.139000,0.246402,0.173329,0.970029,0.977971,-0.038775,-0.068718,-0.193251
5.168000,0.245682,0.170407,0.970292,0.977044,-0.042269,-0.067353,-0.197640
5.194000,0.244826,0.167087,0.970911,0.976253,-0.044370,-0.066707,-0.201275
5.237000,0.242991,0.162714,0.972201,0.975473,-0.042444,-0.068290,-0.204909
5.263000,0.241528,0.160084,0.973250,0.974941,-0.043021,-0.068967,-0.207082
5.305000,0.240006,0.156488,0.974160,0.974606,-0.040597,-0.069220,-0.209056
5.333000,0.239072,0.154320,0.974940,0.974002,-0.042484,-0.069402,-0.211422
5.361000,0.237868,0.152425,0.975385,0.974444,-0.036009,-0.070119,-0.210345
5.402000,0.236809,0.149593,0.975959,0.973028,-0.042768,-0.068190,-0.216187
5.431000,0.235876,0.147774,0.976035,0.972884,-0.037705,-0.068098,-0.217801
5.473000,0.234611,0.146515,0.976285,0.972159,-0.042117,-0.067070,-0.220533
5.500000,0.233562,0.145816,0.976610,0.971882,-0.039498,-0.067414,-0.222127
5.528000,0.232995,0.145640,0.976704,0.971778,-0.039489,-0.068320,-0.222307
5.570000,0.231984,0.145549,0.977163,0.971759,-0.039663,-0.069452,-0.222007
5.598000,0.231591,0.145427,0.977281,0.971491,-0.039524,-0.069406,-0.223216
5.640000,0.231440,0.145599,0.977303,0.971316,-0.040912,-0.069044,-0.223840
5.666000,0.231302,0.146084,0.977491,0.971591,-0.039369,-0.070222,-0.222553
5.694000,0.231227,0.147255,0.977694,0.971794,-0.040019,-0.070789,-0.221369
5.736000,0.231397,0.148693,0.977994,0.971989,-0.042290,-0.070858,-0.220063
5.764000,0.231556,0.149361,0.978131,0.972160,-0.041664,-0.071392,-0.219253
5.806000,0.231845,0.150687,0.978391,0.972441,-0.041371,-0.072579,-0.217667
5.834000,0.232081,0.151226,0.978481,0.972436,-0.041553,-0.072539,-0.217668
5.861000,0.232332,0.152041,0.978731,0.972554,-0.040908,-0.073400,-0.216973
