TimeStep,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
14.670000,0.000154,0.999794,-0.299887,0.247163,0.179667,0.318168,-0.897440
14.680000,0.000141,0.999812,-0.299897,0.247158,0.179670,0.318172,-0.897440
14.690000,0.000128,0.999829,-0.299906,0.247154,0.179673,0.318176,-0.897439
14.700000,0.000116,0.999845,-0.299915,0.247150,0.179676,0.318179,-0.897438
14.710000,0.000105,0.999860,-0.299923,0.247146,0.179679,0.318182,-0.897438
14.720000,0.000095,0.999874,-0.299930,0.247142,0.179682,0.318185,-0.897437
14.730000,0.000085,0.999886,-0.299938,0.247139,0.179684,0.318188,-0.897437
14.740000,0.000076,0.999899,-0.299944,0.247136,0.179687,0.318190,-0.897436
14.750000,0.000068,0.999910,-0.299950,0.247133,0.179689,0.318193,-0.897436
14.760000,0.000060,0.999920,-0.299956,0.247130,0.179691,0.318195,-0.897435
14.770000,0.000053,0.999930,-0.299961,0.247127,0.179693,0.318197,-0.897435
14.780000,0.000046,0.999938,-0.299966,0.247125,0.179694,0.318199,-0.897435
14.790000,0.000040,0.999946,-0.299970,0.247123,0.179696,0.318200,-0.897434
14.800000,0.000035,0.999954,-0.299974,0.247121,0.179697,0.318202,-0.897434
14.810000,0.000030,0.999960,-0.299978,0.247119,0.179699,0.318203,-0.897434
14.820000,0.000025,0.999966,-0.299981,0.247118,0.179700,0.318204,-0.897433
14.830000,0.000021,0.999971,-0.299984,0.247116,0.179701,0.318205,-0.897433
14.840000,0.000018,0.999976,-0.299987,0.247115,0.179702,0.318206,-0.897433
14.850000,0.000015,0.999980,-0.299989,0.247114,0.179703,0.318207,-0.897433
14.860000,0.000012,0.999984,-0.299991,0.247113,0.179703,0.318208,-0.897433
14.870000,0.000010,0.999987,-0.299993,0.247112,0.179704,0.318209,-0.897433
14.880000,0.000008,0.999990,-0.299994,0.247111,0.179704,0.318209,-0.897432
14.890000,0.000006,0.999992,-0.299996,0.247111,0.179705,0.318210,-0.897432
14.900000,0.000004,0.999994,-0.299997,0.247110,0.179705,0.318210,-0.897432
14.910000,0.000003,0.999996,-0.299998,0.247110,0.179706,0.318210,-0.897432
14.920000,0.000002,0.999997,-0.299998,0.247110,0.179706,0.318211,-0.897432
14.930000,0.000002,0.999998,-0.299999,0.247109,0.179706,0.318211,-0.897432
14.940000,0.000001,0.999999,-0.299999,0.247109,0.179706,0.318211,-0.897432
14.950000,0.000001,0.999999,-0.300000,0.247109,0.179706,0.318211,-0.897432
14.960000,0.000000,1.000000,-0.300000,0.247109,0.179706,0.318211,-0.897432
14.970000,0.000000,1.000000,-0.300000,0.247109,0.179706,0.318211,-0.897432
14.980000,0.000000,1.000000,-0.300000,0.247109,0.179706,0.318211,-0.897432
14.990000,0.000000,1.000000,-0.300000,0.247109,0.179706,0.318211,-0.897432
15.000000,0.000000,1.000000,-0.300000,0.247109,0.179706,0.318211,-0.897432
